"party","city","cityName","ctr","ctrName","pop"
"http://dbpedia.org/resource/Brothers_of_Italy","http://dbpedia.org/resource/Cagliari","Cagliari","http://dbpedia.org/resource/Italy","Italy",154460
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Camaiore","Camaiore","http://dbpedia.org/resource/Italy","Italy",32322
"http://dbpedia.org/resource/Centre-right","http://dbpedia.org/resource/Campagnatico","Campagnatico","http://dbpedia.org/resource/Italy","Italy",2436
"http://dbpedia.org/resource/Five_Star_Movement","http://dbpedia.org/resource/Campobasso","Campobasso","http://dbpedia.org/resource/Italy","Italy",49230
"http://dbpedia.org/resource/Civic_List_(Italy)","http://dbpedia.org/resource/Camponogara","Camponogara","http://dbpedia.org/resource/Italy","Italy",12945
"http://dbpedia.org/resource/Five_Star_Movement","http://dbpedia.org/resource/Canosa_di_Puglia","Canosa di Puglia","http://dbpedia.org/resource/Italy","Italy",29847
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Capua","Capua","http://dbpedia.org/resource/Italy","Italy",18484
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Carbonia,_Sardinia","Carbonia, Sardinia","http://dbpedia.org/resource/Italy","Italy",28265
"http://dbpedia.org/resource/Centre-right_coalition_(Italy)","http://dbpedia.org/resource/Carmignano_di_Brenta","Carmignano di Brenta","http://dbpedia.org/resource/Italy","Italy",7609
"http://dbpedia.org/resource/Five_Star_Movement","http://dbpedia.org/resource/Carrara","Carrara","http://dbpedia.org/resource/Italy","Italy",62923
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Casalecchio_di_Reno","Casalecchio di Reno","http://dbpedia.org/resource/Italy","Italy",36517
"http://dbpedia.org/resource/The_People_of_Freedom","http://dbpedia.org/resource/Casarano","Casarano","http://dbpedia.org/resource/Italy","Italy",20169
"http://dbpedia.org/resource/Partito_Democratico","http://dbpedia.org/resource/Cascina","Cascina","http://dbpedia.org/resource/Italy","Italy",45373
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Caselle_Torinese","Caselle Torinese","http://dbpedia.org/resource/Italy","Italy",13970
"http://dbpedia.org/resource/The_People_of_Freedom","http://dbpedia.org/resource/Cassano_Magnago","Cassano Magnago","http://dbpedia.org/resource/Italy","Italy",20754
"http://dbpedia.org/resource/The_People_of_Freedom","http://dbpedia.org/resource/Casteggio","Casteggio","http://dbpedia.org/resource/Italy","Italy",6413
"http://dbpedia.org/resource/Civic_list_(Italy)","http://dbpedia.org/resource/Castelforte","Castelforte","http://dbpedia.org/resource/Italy","Italy",4221
"http://dbpedia.org/resource/Centre-left","http://dbpedia.org/resource/Castiglione_della_Pescaia","Castiglione della Pescaia","http://dbpedia.org/resource/Italy","Italy",7289
"http://dbpedia.org/resource/Brothers_of_Italy","http://dbpedia.org/resource/Catania","Catania","http://dbpedia.org/resource/Italy","Italy",311584
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Catanzaro","Catanzaro","http://dbpedia.org/resource/Italy","Italy",91028
"http://dbpedia.org/resource/Lega_Nord","http://dbpedia.org/resource/Potenza","Potenza","http://dbpedia.org/resource/Italy","Italy",67348
"http://dbpedia.org/resource/Partito_Democratico","http://dbpedia.org/resource/Pozzallo","Pozzallo","http://dbpedia.org/resource/Italy","Italy",19495
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Pozzuoli","Pozzuoli","http://dbpedia.org/resource/Italy","Italy",81231
"http://dbpedia.org/resource/Civic_list_(Italy)","http://dbpedia.org/resource/Priverno","Priverno","http://dbpedia.org/resource/Italy","Italy",13668
"http://dbpedia.org/resource/South_Tyrolean_People's_Party","http://dbpedia.org/resource/Proveis","Proveis","http://dbpedia.org/resource/Italy","Italy",274
"http://dbpedia.org/resource/Forza_Italia_(2013)","http://dbpedia.org/resource/Puegnago_del_Garda","Puegnago del Garda","http://dbpedia.org/resource/Italy","Italy",3286
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Quarrata","Quarrata","http://dbpedia.org/resource/Italy","Italy",26268
"http://dbpedia.org/resource/Civic_list_(Italy)","http://dbpedia.org/resource/Rocca_Massima","Rocca Massima","http://dbpedia.org/resource/Italy","Italy",1136
"http://dbpedia.org/resource/The_People_of_Freedom","http://dbpedia.org/resource/Rocca_San_Casciano","Rocca San Casciano","http://dbpedia.org/resource/Italy","Italy",1810
"http://dbpedia.org/resource/Centre-left_politics","http://dbpedia.org/resource/Roccastrada","Roccastrada","http://dbpedia.org/resource/Italy","Italy",8058
"http://dbpedia.org/resource/Civic_List_(Italy)","http://dbpedia.org/resource/Romano_d'Ezzelino","Romano d'Ezzelino","http://dbpedia.org/resource/Italy","Italy",14621
"http://dbpedia.org/resource/Lega_Nord","http://dbpedia.org/resource/Rosà","Rosà","http://dbpedia.org/resource/Italy","Italy",14328
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/Rovereto","Rovereto","http://dbpedia.org/resource/Italy","Italy",39915
"http://dbpedia.org/resource/Centre-left_politics","http://dbpedia.org/resource/Rovigo","Rovigo","http://dbpedia.org/resource/Italy","Italy",50279
"http://dbpedia.org/resource/Forza_Italia_(2013)","http://dbpedia.org/resource/Salò","Salò","http://dbpedia.org/resource/Italy","Italy",10576
"http://dbpedia.org/resource/Lega_Nord","http://dbpedia.org/resource/Samarate","Samarate","http://dbpedia.org/resource/Italy","Italy",16021
"http://dbpedia.org/resource/Civic_list_(Italy)","http://dbpedia.org/resource/San_Benedetto_del_Tronto","San Benedetto del Tronto","http://dbpedia.org/resource/Italy","Italy",47560
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/San_Canzian_d'Isonzo","San Canzian d'Isonzo","http://dbpedia.org/resource/Italy","Italy",6394
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/San_Donato_Milanese","San Donato Milanese","http://dbpedia.org/resource/Italy","Italy",32517
"http://dbpedia.org/resource/Civic_list_(Italy)","http://dbpedia.org/resource/San_Felice_Circeo","San Felice Circeo","http://dbpedia.org/resource/Italy","Italy",10018
"http://dbpedia.org/resource/Italian_Left","http://dbpedia.org/resource/San_Felice_del_Benaco","San Felice del Benaco","http://dbpedia.org/resource/Italy","Italy",3414
"http://dbpedia.org/resource/Democratic_Party_(Italy)","http://dbpedia.org/resource/San_Gimignano","San Gimignano","http://dbpedia.org/resource/Italy","Italy",7780
