"party","partyName","ideology","ideologyName"
"http://dbpedia.org/resource/Democratic_Party_(Italy)","Democratic Party (Italy)","http://dbpedia.org/resource/Social_democracy","Social democracy"
"http://dbpedia.org/resource/Democratic_Party_(Italy)","Democratic Party (Italy)","http://dbpedia.org/resource/Christian_left","Christian left"
"http://dbpedia.org/resource/Democratic_Party_(Italy)","Democratic Party (Italy)","http://dbpedia.org/resource/Social_liberalism","Social liberalism"
"http://dbpedia.org/resource/Union_of_the_Centre_(2002)","Union of the Centre (2002)","http://dbpedia.org/resource/Christian_democracy","Christian democracy"
"http://dbpedia.org/resource/Union_of_the_Centre_(2002)","Union of the Centre (2002)","http://dbpedia.org/resource/Social_conservatism","Social conservatism"
"http://dbpedia.org/resource/Left_Ecology_Freedom","Left Ecology Freedom","http://dbpedia.org/resource/Democratic_socialism","Democratic socialism"
"http://dbpedia.org/resource/Lega_Nord","Lega Nord","http://dbpedia.org/resource/Regionalism_(politics)","Regionalism (politics)"
"http://dbpedia.org/resource/The_People_of_Freedom","The People of Freedom","http://dbpedia.org/resource/Liberal_conservatism","Liberal conservatism"
"http://dbpedia.org/resource/The_People_of_Freedom","The People of Freedom","http://dbpedia.org/resource/Liberalism","Liberalism"
"http://dbpedia.org/resource/Lega_Nord","Lega Nord","http://dbpedia.org/resource/Liberalism","Liberalism"
"http://dbpedia.org/resource/Free_Democratic_Party_of_Switzerland","Free Democratic Party of Switzerland","http://dbpedia.org/resource/Liberalism","Liberalism"
"http://dbpedia.org/resource/The_People_of_Freedom","The People of Freedom","http://dbpedia.org/resource/Conservatism","Conservatism"
"http://dbpedia.org/resource/Lega_Nord","Lega Nord","http://dbpedia.org/resource/Conservatism","Conservatism"
"http://dbpedia.org/resource/The_People_of_Freedom","The People of Freedom","http://dbpedia.org/resource/Christian_democracy","Christian democracy"
"http://dbpedia.org/resource/Free_Democratic_Party_of_Switzerland","Free Democratic Party of Switzerland","http://dbpedia.org/resource/Conservative_liberalism","Conservative liberalism"
"http://dbpedia.org/resource/Lega_Nord","Lega Nord","http://dbpedia.org/resource/Separatism","Separatism"
"http://dbpedia.org/resource/Lega_Nord","Lega Nord","http://dbpedia.org/resource/Libertarianism","Libertarianism"
"http://dbpedia.org/resource/Lega_Nord","Lega Nord","http://dbpedia.org/resource/Federalism","Federalism"
"http://dbpedia.org/resource/Left_Ecology_Freedom","Left Ecology Freedom","http://dbpedia.org/resource/Eco-socialism","Eco-socialism"
"http://dbpedia.org/resource/Lega_Nord","Lega Nord","http://dbpedia.org/resource/Autonomism_(political_doctrine)","Autonomism (political doctrine)"
"http://dbpedia.org/resource/Lega_Nord","Lega Nord","http://dbpedia.org/resource/Populism","Populism"
"http://dbpedia.org/resource/Free_Democratic_Party_of_Switzerland","Free Democratic Party of Switzerland","http://dbpedia.org/resource/Classical_liberalism","Classical liberalism"
"http://dbpedia.org/resource/Lega_Nord","Lega Nord","http://dbpedia.org/resource/Euroscepticism","Euroscepticism"
"http://dbpedia.org/resource/Lega_Nord","Lega Nord","http://dbpedia.org/resource/Padanian_nationalism","Padanian nationalism"
"http://dbpedia.org/resource/Forza_Italia","Forza Italia","http://dbpedia.org/resource/Liberal_conservatism","Liberal conservatism"
"http://dbpedia.org/resource/Forza_Italia","Forza Italia","http://dbpedia.org/resource/Christian_democracy","Christian democracy"
"http://dbpedia.org/resource/Federation_of_the_Greens","Federation of the Greens","http://dbpedia.org/resource/Alter-globalization","Alter-globalization"
"http://dbpedia.org/resource/Federation_of_the_Greens","Federation of the Greens","http://dbpedia.org/resource/Eco-socialism","Eco-socialism"
"http://dbpedia.org/resource/Forza_Italia","Forza Italia","http://dbpedia.org/resource/Populism","Populism"
"http://dbpedia.org/resource/Forza_Italia","Forza Italia","http://dbpedia.org/resource/Social_democracy","Social democracy"
"http://dbpedia.org/resource/Federation_of_the_Greens","Federation of the Greens","http://dbpedia.org/resource/Green_politics","Green politics"
"http://dbpedia.org/resource/Forza_Italia","Forza Italia","http://dbpedia.org/resource/Liberalism_in_Italy","Liberalism in Italy"
"http://dbpedia.org/resource/South_Tyrolean_People's_Party","South Tyrolean People's Party","http://dbpedia.org/resource/Pro-Europeanism","Pro-Europeanism"
"http://dbpedia.org/resource/Italian_Left","Italian Left","http://dbpedia.org/resource/Democratic_socialism","Democratic socialism"
"http://dbpedia.org/resource/Article_One_(political_party)","Article One (political party)","http://dbpedia.org/resource/Democratic_socialism","Democratic socialism"
"http://dbpedia.org/resource/South_Tyrolean_People's_Party","South Tyrolean People's Party","http://dbpedia.org/resource/Regionalism_(politics)","Regionalism (politics)"
"http://dbpedia.org/resource/South_Tyrolean_People's_Party","South Tyrolean People's Party","http://dbpedia.org/resource/Christian_democracy","Christian democracy"
"http://dbpedia.org/resource/South_Tyrolean_People's_Party","South Tyrolean People's Party","http://dbpedia.org/resource/German_language","German language"
"http://dbpedia.org/resource/South_Tyrolean_People's_Party","South Tyrolean People's Party","http://dbpedia.org/resource/Ladin_language","Ladin language"
"http://dbpedia.org/resource/Italian_Left","Italian Left","http://dbpedia.org/resource/Eco-socialism","Eco-socialism"
"http://dbpedia.org/resource/South_Tyrolean_People's_Party","South Tyrolean People's Party","http://dbpedia.org/resource/Autonomism_(political_doctrine)","Autonomism (political doctrine)"
"http://dbpedia.org/resource/South_Tyrolean_People's_Party","South Tyrolean People's Party","http://dbpedia.org/resource/Social_democracy","Social democracy"
"http://dbpedia.org/resource/Article_One_(political_party)","Article One (political party)","http://dbpedia.org/resource/Social_democracy","Social democracy"
